"","RegionName","BedroomCnt","State","City","CountyName","Price","Year","Month","date","station_open","zip_in_2014","zip_in_2022"
"7647",20024,2,"DC","Washington","District of Columbia",557970.422368847,2020,2,"2020-02-01",1,0,0
"7648",20024,2,"DC","Washington","District of Columbia",563961.165345529,2020,3,"2020-03-01",1,0,0
"7649",20024,2,"DC","Washington","District of Columbia",570225.407645376,2020,4,"2020-04-01",1,0,0
"7650",20024,2,"DC","Washington","District of Columbia",576124.612743012,2020,5,"2020-05-01",1,0,0
"7651",20024,2,"DC","Washington","District of Columbia",579626.896296919,2020,6,"2020-06-01",1,0,0
"7652",20024,2,"DC","Washington","District of Columbia",581324.777950647,2020,7,"2020-07-01",1,0,0
"7653",20024,2,"DC","Washington","District of Columbia",583386.823359791,2020,8,"2020-08-01",1,0,0
"7654",20024,2,"DC","Washington","District of Columbia",587770.957946217,2020,9,"2020-09-01",1,0,0
"7655",20024,2,"DC","Washington","District of Columbia",591986.366638678,2020,10,"2020-10-01",1,0,0
"7656",20024,2,"DC","Washington","District of Columbia",596255.434300949,2020,11,"2020-11-01",1,0,0
"7657",20024,2,"DC","Washington","District of Columbia",598852.172675643,2020,12,"2020-12-01",1,0,0
"7658",20024,2,"DC","Washington","District of Columbia",600114.875423257,2021,1,"2021-01-01",1,0,0
"7659",20024,2,"DC","Washington","District of Columbia",600213.409764622,2021,2,"2021-02-01",1,0,0
"7660",20024,2,"DC","Washington","District of Columbia",601185.144709864,2021,3,"2021-03-01",1,0,0
"7661",20024,2,"DC","Washington","District of Columbia",603082.946961356,2021,4,"2021-04-01",1,0,0
"7662",20024,2,"DC","Washington","District of Columbia",606142.155694455,2021,5,"2021-05-01",1,0,0
"7663",20024,2,"DC","Washington","District of Columbia",608244.724434077,2021,6,"2021-06-01",1,0,0
"7664",20024,2,"DC","Washington","District of Columbia",610961.390345373,2021,7,"2021-07-01",1,0,0
"7665",20024,2,"DC","Washington","District of Columbia",613055.41703279,2021,8,"2021-08-01",1,0,0
"7666",20024,2,"DC","Washington","District of Columbia",615795.09516797,2021,9,"2021-09-01",1,0,0
"7667",20024,2,"DC","Washington","District of Columbia",618722.706371685,2021,10,"2021-10-01",1,0,0
"7668",20024,2,"DC","Washington","District of Columbia",621193.372782372,2021,11,"2021-11-01",1,0,0
"7669",20024,2,"DC","Washington","District of Columbia",622318.95619405,2021,12,"2021-12-01",1,0,0
"7670",20024,2,"DC","Washington","District of Columbia",622628.948535296,2022,1,"2022-01-01",1,0,0
"7671",20024,2,"DC","Washington","District of Columbia",622938.993228627,2022,2,"2022-02-01",1,0,0
"7672",20024,2,"DC","Washington","District of Columbia",625628.330530369,2022,3,"2022-03-01",1,0,0
"7673",20024,2,"DC","Washington","District of Columbia",627874.836132574,2022,4,"2022-04-01",1,0,0
"7674",20024,2,"DC","Washington","District of Columbia",629662.986462674,2022,5,"2022-05-01",1,0,0
"7675",20024,2,"DC","Washington","District of Columbia",629322.682507974,2022,6,"2022-06-01",1,0,0
"7676",20024,2,"DC","Washington","District of Columbia",625100.932914779,2022,7,"2022-07-01",1,0,0
"7677",20024,2,"DC","Washington","District of Columbia",618593.559312101,2022,8,"2022-08-01",1,0,0
"7678",20024,2,"DC","Washington","District of Columbia",610222.907465418,2022,9,"2022-09-01",1,0,0
"7679",20024,2,"DC","Washington","District of Columbia",605555.640712629,2022,10,"2022-10-01",1,0,0
"7680",20024,2,"DC","Washington","District of Columbia",601997.991097176,2022,11,"2022-11-01",1,0,0
"7681",20024,2,"DC","Washington","District of Columbia",599961.655308722,2022,12,"2022-12-01",1,0,0
"7682",20024,2,"DC","Washington","District of Columbia",596628.18902874,2023,1,"2023-01-01",1,0,0
"7683",20024,2,"DC","Washington","District of Columbia",594121.858906965,2023,2,"2023-02-01",1,0,0
"7684",20024,2,"DC","Washington","District of Columbia",590568.290759962,2023,3,"2023-03-01",1,0,0
"7685",20024,2,"DC","Washington","District of Columbia",587934.10142624,2023,4,"2023-04-01",1,0,0
"7686",20024,2,"DC","Washington","District of Columbia",586754.059378974,2023,5,"2023-05-01",1,0,0
"7687",20024,2,"DC","Washington","District of Columbia",589319.163417457,2023,6,"2023-06-01",1,0,0
"7688",20024,2,"DC","Washington","District of Columbia",593556.373983608,2023,7,"2023-07-01",1,0,0
"7689",20024,2,"DC","Washington","District of Columbia",596820.171082069,2023,8,"2023-08-01",1,0,0
"7690",20024,2,"DC","Washington","District of Columbia",598328.621589373,2023,9,"2023-09-01",1,0,0
"7691",20024,2,"DC","Washington","District of Columbia",597738.683818368,2023,10,"2023-10-01",1,0,0
"7692",20024,2,"DC","Washington","District of Columbia",596577.580864233,2023,11,"2023-11-01",1,0,0
"7693",20024,2,"DC","Washington","District of Columbia",593378.229771811,2023,12,"2023-12-01",1,0,0
"7694",20024,2,"DC","Washington","District of Columbia",591262.757279273,2024,1,"2024-01-01",1,0,0
"7695",20024,2,"DC","Washington","District of Columbia",590500.197849601,2024,2,"2024-02-01",1,0,0
"7696",20024,2,"DC","Washington","District of Columbia",591112.688176636,2024,3,"2024-03-01",1,0,0
"7697",20024,2,"DC","Washington","District of Columbia",590668.727294595,2024,4,"2024-04-01",1,0,0
"7698",20024,2,"DC","Washington","District of Columbia",588149.820557495,2024,5,"2024-05-01",1,0,0
"7699",20024,2,"DC","Washington","District of Columbia",584228.425793255,2024,6,"2024-06-01",1,0,0
"7700",20024,2,"DC","Washington","District of Columbia",581438.75351143,2024,7,"2024-07-01",1,0,0
"7701",20024,3,"DC","Washington","District of Columbia",222925.084173501,2000,1,"2000-01-01",1,0,0
"7702",20024,3,"DC","Washington","District of Columbia",224113.917919276,2000,2,"2000-02-01",1,0,0
"7703",20024,3,"DC","Washington","District of Columbia",225532.118101091,2000,3,"2000-03-01",1,0,0
"7704",20024,3,"DC","Washington","District of Columbia",227373.708925799,2000,4,"2000-04-01",1,0,0
"7705",20024,3,"DC","Washington","District of Columbia",228677.426855245,2000,5,"2000-05-01",1,0,0
"7706",20024,3,"DC","Washington","District of Columbia",229970.960424726,2000,6,"2000-06-01",1,0,0
"7707",20024,3,"DC","Washington","District of Columbia",232415.763799707,2000,7,"2000-07-01",1,0,0
"7708",20024,3,"DC","Washington","District of Columbia",234271.643389771,2000,8,"2000-08-01",1,0,0
"7709",20024,3,"DC","Washington","District of Columbia",236386.035481139,2000,9,"2000-09-01",1,0,0
"7710",20024,3,"DC","Washington","District of Columbia",237688.937352942,2000,10,"2000-10-01",1,0,0
"7711",20024,3,"DC","Washington","District of Columbia",239565.920512438,2000,11,"2000-11-01",1,0,0
"7712",20024,3,"DC","Washington","District of Columbia",241145.687248454,2000,12,"2000-12-01",1,0,0
"7713",20024,3,"DC","Washington","District of Columbia",243419.825470916,2001,1,"2001-01-01",1,0,0
"7714",20024,3,"DC","Washington","District of Columbia",245799.653879146,2001,2,"2001-02-01",1,0,0
"7715",20024,3,"DC","Washington","District of Columbia",249082.076450176,2001,3,"2001-03-01",1,0,0
"7716",20024,3,"DC","Washington","District of Columbia",252921.831415554,2001,4,"2001-04-01",1,0,0
"7717",20024,3,"DC","Washington","District of Columbia",257482.073251408,2001,5,"2001-05-01",1,0,0
"7718",20024,3,"DC","Washington","District of Columbia",261301.291484389,2001,6,"2001-06-01",1,0,0
"7719",20024,3,"DC","Washington","District of Columbia",265596.524079773,2001,7,"2001-07-01",1,0,0
"7720",20024,3,"DC","Washington","District of Columbia",270792.231210599,2001,8,"2001-08-01",1,0,0
